beta1,alpha,R0,class,max_re,max_im
0.06,0.05,0.8844882630429531,df_stable,,
0.06,0.2217391304347826,1.1664881347406606,endemic_spiral,-0.0028708599441244296,0.008654454812369804
0.06,0.3934782608695652,1.4484880064383683,endemic_spiral,-0.00344577088928648,0.01362812287699879
0.06,0.5652173913043479,1.730487878136076,endemic_spiral,-0.003979656557958632,0.01679550398701313
0.06,0.7369565217391305,2.0124877498337836,endemic_spiral,-0.004490402278938608,0.019275404851336258
0.06,0.9086956521739131,2.2944876215314913,endemic_spiral,-0.004986887820244741,0.021376667049854293
0.06,1.0804347826086957,2.576487493229199,endemic_spiral,-0.005473820944581154,0.02323119122574977
0.06,1.2521739130434784,2.8584873649269067,endemic_spiral,-0.005953894866805524,0.024908367675363724
0.06,1.423913043478261,3.1404872366246144,endemic_spiral,-0.006428752087016781,0.026449699247677583
0.06,1.5956521739130436,3.422487108322322,endemic_spiral,-0.0068994479133297655,0.02788228019100773
0.06,1.7673913043478262,3.7044869800200297,endemic_spiral,-0.007366689773257381,0.02922495597000793
0.06,1.9391304347826088,3.9864868517177374,endemic_spiral,-0.007830968674870088,0.030491476414329654
0.06,2.110869565217391,4.268486723415444,endemic_spiral,-0.008292635670104905,0.031692253511630956
0.06,2.282608695652174,4.550486595113152,endemic_spiral,-0.008751947864856394,0.03283540878924794
0.06,2.4543478260869565,4.83248646681086,endemic_spiral,-0.009209097571082143,0.033927431667007305
0.06,2.626086956521739,5.114486338508566,endemic_spiral,-0.009664231331212417,0.03497361190665139
0.06,2.7978260869565217,5.396486210206275,endemic_spiral,-0.010117462540665796,0.03597833419123762
0.06,2.9695652173913043,5.678486081903983,endemic_spiral,-0.010568879882010503,0.036945285127760366
0.06,3.141304347826087,5.960485953601689,endemic_spiral,-0.011018553967725025,0.037877602630999464
0.06,3.3130434782608695,6.242485825299398,endemic_spiral,-0.01146654123095039,0.03877798619437168
0.06,3.484782608695652,6.524485696997106,endemic_spiral,-0.011912887224851225,0.039648779939419204
0.06,3.6565217391304348,6.8064855686948125,endemic_spiral,-0.012357629277115397,0.040492036322462524
0.06,3.8282608695652174,7.08848544039252,endemic_spiral,-0.012800797879010598,0.041309565608343056
0.06,4.0,7.370485312090228,endemic_spiral,-0.013242418129863705,0.04210297506159887
0.08,0.05,0.9830097372056965,df_stable,,
0.08,0.2217391304347826,1.2650096089034042,endemic_spiral,-0.003082674172138594,0.01107622851413409
0.08,0.3934782608695652,1.5470094806011119,endemic_spiral,-0.0036473643001783823,0.015141609179667821
0.08,0.5652173913043479,1.8290093522988196,endemic_spiral,-0.004176581929272571,0.01799169753425758
0.08,0.7369565217391305,2.1110092239965272,endemic_spiral,-0.0046849501129672235,0.0202985971267241
0.08,0.9086956521739131,2.393009095694235,endemic_spiral,-0.005180090902967309,0.022286523711172297
0.08,1.0804347826086957,2.6750089673919426,endemic_spiral,-0.00566618474867567,0.02405891849526575
0.08,1.2521739130434784,2.95700883908965,endemic_spiral,-0.00614568196134415,0.02567270259624646
0.08,1.423913043478261,3.2390087107873575,endemic_spiral,-0.006620104366930262,0.027162963092722276
0.08,1.5956521739130436,3.521008582485065,endemic_spiral,-0.007090443514572634,0.028553112145408156
0.08,1.7673913043478262,3.803008454182773,endemic_spiral,-0.007557371578180562,0.029859707862068083
0.08,1.9391304347826088,4.08500832588048,endemic_spiral,-0.008021359392219912,0.031094991483299333
0.08,2.110869565217391,4.367008197578188,endemic_spiral,-0.00848274618849354,0.03226833237917126
0.08,2.282608695652174,4.6490080692758955,endemic_spiral,-0.008941781930749062,0.033387103964132095
0.08,2.4543478260869565,4.931007940973603,endemic_spiral,-0.009398654779839671,0.03445724221245558
0.08,2.626086956521739,5.21300781267131,endemic_spiral,-0.009853508607671634,0.03548361685621545
0.08,2.7978260869565217,5.4950076843690185,endemic_spiral,-0.010306455326892712,0.03647028686981179
0.08,2.9695652173913043,5.777007556066726,endemic_spiral,-0.01075758288071826,0.03742068167027926
0.08,3.141304347826087,6.059007427764433,endemic_spiral,-0.011206961299068816,0.03833773275799129
0.08,3.3130434782608695,6.341007299462142,endemic_spiral,-0.011654646963921357,0.039223971733080495
0.08,3.484782608695652,6.623007171159849,endemic_spiral,-0.012100685360354337,0.04008160440230463
0.08,3.6565217391304348,6.905007042857556,endemic_spiral,-0.01254511390950558,0.040912568090047695
0.08,3.8282608695652174,7.187006914555264,endemic_spiral,-0.012987963186864047,0.041718576300554686
0.08,4.0,7.469006786252971,endemic_spiral,-0.013429258533288326,0.04250115422603825
0.1,0.05,1.08153121136844,endemic_spiral,-0.0026829539175162167,0.006492113077171226
0.1,0.2217391304347826,1.3635310830661476,endemic_spiral,-0.003290314916273296,0.013050384695842637
0.1,0.3934782608695652,1.6455309547638552,endemic_spiral,-0.003847300294687942,0.016525686661667913
0.1,0.5652173913043479,1.927530826461563,endemic_spiral,-0.004372768670062066,0.01912230880229971
0.1,0.7369565217391305,2.209530698159271,endemic_spiral,-0.004879143227699331,0.021280442940208116
0.1,0.9086956521739131,2.491530569856978,endemic_spiral,-0.0053731167954107935,0.023167113554659415
0.1,1.0804347826086957,2.7735304415546858,endemic_spiral,-0.005858459231407209,0.024864412155583163
0.1,1.2521739130434784,3.0555303132523934,endemic_spiral,-0.006337425095733032,0.02641933157764688
0.1,1.423913043478261,3.337530184950101,endemic_spiral,-0.006811436331230174,0.027861646573221648
0.1,1.5956521739130436,3.619530056647809,endemic_spiral,-0.007281430880371911,0.029211634491965042
0.1,1.7673913043478262,3.9015299283455165,endemic_spiral,-0.007748050812058725,0.030483865249410085
0.1,1.9391304347826088,4.183529800043224,endemic_spiral,-0.008211749617672728,0.03168924753664051
0.1,2.110869565217391,4.465529671740931,endemic_spiral,-0.00867285609053031,0.032836217865034635
0.1,2.282608695652174,4.747529543438638,endemic_spiral,-0.009131614186111456,0.03393147333566471
0.1,2.4543478260869565,5.029529415136347,endemic_spiral,-0.009588208136243217,0.03498044520242839
0.1,2.626086956521739,5.311529286834054,endemic_spiral,-0.010042779806088281,0.035987617380157357
0.1,2.7978260869565217,5.593529158531762,endemic_spiral,-0.010495439554234313,0.03695674781291346
0.1,2.9695652173913043,5.87552903022947,endemic_spiral,-0.010946274743304969,0.037891026883336294
0.1,3.141304347826087,6.157528901927177,endemic_spiral,-0.011395354972937592,0.03879319340502843
0.1,3.3130434782608695,6.439528773624885,endemic_spiral,-0.011842736472870052,0.03966562157231146
0.1,3.484782608695652,6.721528645322593,endemic_spiral,-0.012288464841141742,0.04051038708136599
0.1,3.6565217391304348,7.0035285170203,endemic_spiral,-0.012732577429520706,0.04132931855411162
0.1,3.8282608695652174,7.285528388718007,endemic_spiral,-0.013175105144709535,0.04212403790379358
0.1,4.0,7.567528260415715,endemic_spiral,-0.013616073458063373,0.04289599244363842
0.12,0.05,1.1800526855311833,endemic_spiral,-0.0028973102679324147,0.009926967521036641
0.12,0.2217391304347826,1.462052557228891,endemic_spiral,-0.0034946199548175723,0.014758083316900832
0.12,0.3934782608695652,1.7440524289265986,endemic_spiral,-0.004045768347164953,0.017808916015024528
0.12,0.5652173913043479,2.0260523006243063,endemic_spiral,-0.004568239115179397,0.020197007366929733
0.12,0.7369565217391305,2.308052172322014,endemic_spiral,-0.0050729571181340315,0.022225439616770433
0.12,0.9086956521739131,2.5900520440197212,endemic_spiral,-0.005565929202558096,0.024020936951667207
0.12,1.0804347826086957,2.872051915717429,endemic_spiral,-0.006050607452256102,0.025649230189141156
0.12,1.2521739130434784,3.1540517874151366,endemic_spiral,-0.006529090011329803,0.0271493047060252
0.12,1.423913043478261,3.4360516591128443,endemic_spiral,-0.007002717404524088,0.028546498945903553
0.12,1.5956521739130436,3.718051530810552,endemic_spiral,-0.00747238300352451,0.02985840535776715
0.12,1.7673913043478262,4.00005140250826,endemic_spiral,-0.007938703709400325,0.031097858037732233
0.12,1.9391304347826088,4.282051274205967,endemic_spiral,-0.008402118311914016,0.032274584659672374
0.12,2.110869565217391,4.564051145903674,endemic_spiral,-0.008862946858205578,0.033396184961516105
0.12,2.282608695652174,4.846051017601382,endemic_spiral,-0.009321428011978368,0.034468743302927825
0.12,2.4543478260869565,5.1280508892990895,endemic_spiral,-0.009777742968446357,0.03549722991369582
0.12,2.626086956521739,5.410050760996796,endemic_spiral,-0.01023203150194987,0.036485773787956095
